H (A/m)	M (A/m)
3978873.5751313814	912962.721416665
3713615.3367892895	912949.8480435642
3448357.0984471976	912935.2369090163
3183098.8601051057	912918.559972257
2917840.621763014	912899.407710856
2652582.3834209214	912877.2635897857
2387324.145078829	912851.4685709972
2122065.906736737	912821.1710271926
1856807.6683946445	912785.2547912628
1591549.4300525526	912742.2335977091
1326291.1917104605	912690.0927170974
1061032.9533683686	912626.0448694229
795774.7150262764	912546.1428804406
530516.4766841844	912444.6431272198
265258.2383420923	912312.915801745
2.6504622331100836e-10	912137.4866639713
-265258.2383420918	911896.3022605897
-530516.4766841839	911551.0508167485
-795774.715026276	911029.7631114194
-1061032.9533683679	910181.4414635758
-1326291.19171046	908629.9865398601
-1591549.4300525521	905056.7370464493
-1856807.668394644	-912785.2548034217
-2122065.906736736	-912821.1699100328
-2387324.145078829	-912851.4678696569
-2652582.383420921	-912877.2631569388
-2917840.621763013	-912899.4074530093
-3183098.860105105	-912918.5598296095
-3448357.098447197	-912935.2368413961
-3713615.336789289	-912949.8480243577
-3978873.575131381	-912962.7214782147
