H (A/m)	M (A/m)
3978873.5751313814	1087719.5758031541
3952347.751297172	1087718.3593603491
3925821.9274629634	1087717.1303493886
3899296.103628754	1087715.8886489375
3872770.279794545	1087714.6340954502
3846244.4559603357	1087713.3665105903
3819718.632126127	1087712.085708518
3793192.808291918	1087710.7915133133
3766666.9844577084	1087709.4837329134
3740141.160623499	1087708.1621761355
3713615.3367892904	1087706.8266435561
3687089.512955081	1087705.4769468727
3660563.689120872	1087704.112875176
3634037.8652866627	1087702.7342324147
3607512.041452454	1087701.3408053925
3580986.2176182447	1087699.9323774776
3554460.3937840355	1087698.5087402894
3527934.569949826	1087697.0696695813
3501408.7461156175	1087695.614941023
3474882.922281408	1087694.1443230924
3448357.098447199	1087692.6575893154
3421831.27461299	1087691.154499778
3395305.450778781	1087689.6348132305
3368779.6269445717	1087688.0982839174
3342253.8031103625	1087686.5446615384
3315727.9792761537	1087684.9736911014
3289202.1554419445	1087683.3851128237
3262676.3316077353	1087681.7786607496
3236150.507773526	1087680.154067819
3209624.6839393172	1087678.511057962
3183098.8601051085	1087676.8493511658
3156573.0362708988	1087675.1686620726
3130047.2124366895	1087673.4686998278
3103521.3886024808	1087671.749168004
3076995.564768272	1087670.0097644131
3050469.7409340623	1087668.2501810116
3023943.917099853	1087666.4701037225
2997418.0932656443	1087664.6692145385
2970892.269431435	1087662.8471827523
2944366.445597226	1087661.00367748
2917840.621763017	1087659.138359201
2891314.797928808	1087657.250881637
2864788.9740945986	1087655.340891596
2838263.15026039	1087653.4080287975
2811737.3264261805	1087651.4519257166
2785211.5025919713	1087649.4722074019
2758685.678757762	1087647.4684912823
2732159.854923553	1087645.4403874376
2705634.031089344	1087643.3874966488
2679108.207255135	1087641.3094127818
2652582.383420926	1087639.205720923
2626056.5595867164	1087637.0759975386
2599530.7357525076	1087634.9198102755
2573004.911918299	1087632.7367177608
2546479.088084089	1087630.5262693395
2519953.26424988	1087628.288004871
2493427.440415671	1087626.0214544744
2466901.616581462	1087623.726138271
2440375.792747252	1087621.4015686424
2413849.9689130434	1087619.0472400524
2387324.1450788346	1087616.6626434715
2360798.3212446254	1087614.2472564257
2334272.497410416	1087611.8005450796
2307746.6735762074	1087609.3219639326
2281220.849741998	1087606.8109555584
2254695.025907789	1087604.266950206
2228169.2020735797	1087601.6893655574
2201643.378239371	1087599.077606339
2175117.5544051616	1087596.4310639896
2148591.7305709524	1087593.7491163185
2122065.906736743	1087591.0311321283
2095540.0829025342	1087588.2764509232
