H (A/m)	M (A/m)
3978873.5751313814	1137718.0741943715
3952347.751297172	1137716.8533924762
3925821.9274629634	1137715.6205118138
3899296.103628754	1137714.3754455224
3872770.279794545	1137713.1180532645
3846244.4559603357	1137711.8481678672
3819718.632126127	1137710.5656229935
3793192.808291918	1137709.2702495034
3766666.9844577084	1137707.961875428
3740141.160623499	1137706.6403212685
3713615.3367892904	1137705.3054183272
3687089.512955081	1137703.9569812678
3660563.689120872	1137702.5948212272
3634037.8652866627	1137701.2187608902
3607512.041452454	1137699.8286051948
3580986.2176182447	1137698.424155951
3554460.3937840355	1137697.0052253557
3527934.569949826	1137695.5716088014
3501408.7461156175	1137694.1230982218
3474882.922281408	1137692.6594946
3448357.098447199	1137691.180582892
3421831.27461299	1137689.6861484596
3395305.450778781	1137688.1759696887
3368779.6269445717	1137686.6498305455
3342253.8031103625	1137685.1075017084
3315727.9792761537	1137683.5487528972
3289202.1554419445	1137681.973349726
3262676.3316077353	1137680.3810535988
3236150.507773526	1137678.7716216228
3209624.6839393172	1137677.1448065254
3183098.8601051085	1137675.5003551957
3156573.0362708988	1137673.8380139233
3130047.2124366895	1137672.1575203608
3103521.3886024808	1137670.4586086867
3076995.564768272	1137668.7410081774
3050469.7409340623	1137667.004443111
3023943.917099853	1137665.2486326504
2997418.0932656443	1137663.4732907151
2970892.269431435	1137661.6781259056
2944366.445597226	1137659.8628413281
2917840.621763017	1137658.0271345112
2891314.797928808	1137656.170697795
2864788.9740945986	1137654.293216056
2838263.15026039	1137652.3943716567
2811737.3264261805	1137650.4738348557
2785211.5025919713	1137648.5312749806
2758685.678757762	1137646.5663532189
2732159.854923553	1137644.578724197
2705634.031089344	1137642.5680358422
2679108.207255135	1137640.5339291855
2652582.383420926	1137638.4760382609
2626056.5595867164	1137636.3939903658
2599530.7357525076	1137634.287404016
2573004.911918299	1137632.155891574
2546479.088084089	1137629.999057242
2519953.26424988	1137627.8164972996
2493427.440415671	1137625.6077999289
2466901.616581462	1137623.3725450183
2440375.792747252	1137621.110303958
2413849.9689130434	1137618.820639436
2387324.1450788346	1137616.5031052264
2360798.3212446254	1137614.1572459356
2334272.497410416	1137611.7825968415
2307746.6735762074	1137609.3786862788
2281220.849741998	1137606.9450248496
2254695.025907789	1137604.4811208565
2228169.2020735797	1137601.9864697251
2201643.378239371	1137599.4605562463
2175117.5544051616	1137596.9028543753
2148591.7305709524	1137594.3128269066
2122065.906736743	1137591.6899252045
2095540.0829025342	1137589.033588921
2069014.2590683252	1137586.3432456704
2042488.4352341164	1137583.6183107253
2015962.611399907	1137580.858186719
1989436.7875656977	1137578.0622684634
1962910.963731489	1137575.2299220236
1936385.1398972794	1137572.3605150622
1909859.31606307	1137569.453396108
1883333.4922288612	1137566.5078993076
1856807.6683946522	1137563.523343977
1830281.8445604432	1137560.4990342155
1803756.020726234	1137557.4342585637
1777230.196892025	1137554.3282894194
1750704.3730578157	1137551.1803827921
1724178.5492236067	1137547.9897860435
1697652.7253893975	1137544.7557044448
1671126.9015551885	1137541.4773498059
1644601.0777209792	1137538.1539074974
1618075.2538867702	1137534.7845440344
1591549.430052561	1137531.3684064536
1565023.6062183513	1137527.9046218724
1538497.7823841427	1137524.3922968712
1511971.9585499333	1137520.8305283443
1485446.1347157238	1137517.2183575535
1458920.3108815148	1137513.554836906
1432394.4870473053	1137509.8389848082
1405868.663213096	1137506.0697959731
1379342.8393788866	1137502.246240754
1352817.0155446772	1137498.3672645076
1326291.1917104684	1137494.431786697
1299765.367876259	1137490.4387140742
1273239.5440420494	1137486.3868851503
1246713.7202078402	1137482.2751506413
1220187.8963736307	1137478.1023188722
1193662.0725394217	1137473.8671683208
1167136.2487052123	1137469.5684466285
1140610.424871003	1137465.2048652295
1114084.6010367938	1137460.7751164548
1087558.7772025845	1137456.2778447955
1061032.9533683753	1137451.7116650615
1034507.129534166	1137447.0751559867
1007981.3056999566	1137442.366859226
981455.4818657474	1137437.5852787255
954929.658031538	1137432.728878309
928403.8341973288	1137427.796081774
901878.0103631194	1137422.785270596
875352.1865289103	1137417.6947829984
848826.3626947008	1137412.5229127135
822300.5388604916	1137407.267907205
795774.7150262822	1137401.9279661532
769248.8911920731	1137396.5012401498
742723.0673578638	1137390.9858288197
716197.2435236546	1137385.3797793046
689671.4196894455	1137379.6810827977
663145.5958552363	1137373.8876793797
636619.772021027	1137367.9974440194
610093.9481868178	1137362.0081974252
583568.1243526087	1137355.9176937365
557042.3005183995	1137349.7236266148
530516.4766841902	1137343.4236205867
503990.65284998104	1137337.0152325816
477464.82901577186	1137330.4959476676
450939.0051815626	1137323.863177117
424413.18134735344	1137317.114256336
397887.35751314426	1137310.2464408078
371361.53367893497	1137303.2569044959
344835.70984472585	1137296.1427362016
318309.8860105166	1137288.9009363307
291784.0621763074	1137281.5284143894
265258.2383420982	1137274.0219847655
238732.414507889	1137266.3783635881
212206.5906736798	1137258.5941651498
185680.76683947057	1137250.665897789
159154.9430052614	1137242.5899600475
132629.1191710522	1137234.3626363552
106103.29533684293	1137225.9800925157
79577.47150263375	1137217.438371577
53051.64766842457	1137208.73338862
26525.82383421531	1137199.8609255655
6.1733682846189024e-09	1137190.8166266978
-26525.823834202976	1137181.5959918965
-53051.64766841223	1137172.1943724446
-79577.47150262143	1137162.606963418
-106103.2953368306	1137152.8287979704
-132629.11917103978	1137142.8547417216
-159154.94300524905	1137132.6794838419
-185680.76683945823	1137122.2975310998
-212206.5906736675	1137111.7031991673
-238732.4145078767	1137100.890607046
-265258.23834208585	1137089.853664487
-291784.06217629503	1137078.5860674062
-318309.8860105043	1137067.0812851284
-344835.7098447135	1137055.3325520544
-371361.5336789227	1137043.3328584211
-397887.3575131319	1137031.0749370588
-424413.18134734116	1137018.5512535558
-450939.00518155034	1137005.7539937983
-477464.8290157596	1136992.675051039
-503990.65284996876	1136979.3060134118
-530516.476684178	1136965.6381482848
-557042.3005183872	1136951.6623891352
-583568.1243525964	1136937.369318338
-610093.9481868056	1136922.7491513675
-636619.7720210148	1136907.7917191328
-663145.595855224	1136892.4864494244
-689671.4196894332	1136876.8223472931
-716197.2435236424	1136860.7879744347
-742723.0673578517	1136844.3714272087
-769248.8911920608	1136827.5603133368
-795774.7150262699	1136810.3417276845
-822300.5388604793	1136792.7022250432
-848826.3626946885	1136774.6277934972
-875352.1865288978	1136756.103826168
-901878.0103631071	1136737.1150870677
-928403.8341973164	1136717.6456801996
-954929.6580315257	1136697.6790142632
-981455.4818657349	1136677.197762438
-1007981.3056999443	1136656.183826686
-1034507.1295341535	1136634.6182925336
-1061032.9533683627	1136612.481385811
-1087558.7772025722	1136589.7524189495
-1114084.6010367814	1136566.4097468038
-1140610.424870991	1136542.430705878
-1167136.2487052	1136517.7915610434
-1193662.0725394094	1136492.4674375814
-1220187.8963736186	1136466.4322509891
-1246713.7202078279	1136439.6586434839
-1273239.5440420373	1136412.1179007553
-1299765.3678762466	1136383.7798697308
-1326291.1917104558	1136354.6128721521
-1352817.015544665	1136324.5835993325
-1379342.8393788743	1136293.6570183241
-1405868.6632130835	1136261.796267133
-1432394.487047293	1136228.9625091944
-1458920.3108815022	1136195.1148351382
-1485446.1347157112	1136160.2100931003
-1511971.9585499207	1136124.2027706932
-1538497.78238413	1136087.044790382
-1565023.6062183394	1136048.6853713007
-1591549.4300525486	1136009.0708328553
-1618075.253886758	1135968.144348266
-1644601.0777209667	1135925.8457399623
-1671126.9015551761	1135882.111260463
-1697652.7253893851	1135836.8732861204
-1724178.5492235944	1135790.0600538666
-1750704.3730578034	1135741.5952663189
-1777230.1968920128	1135691.3978729637
-1803756.0207262216	1135639.3815140212
-1830281.8445604306	1135585.4542601309
-1856807.66839464	1135529.5201384425
-1883333.4922288489	1135471.470541528
-1909859.316063058	1135411.1954074649
-1936385.139897267	1135348.575092095
-1962910.9637314763	1135283.481394334
-1989436.7875656853	1135215.7768312586
-2015962.6113998946	1135145.3137799632
-2042488.435234104	1135071.9335146602
-2069014.2590683128	1134995.4651436822
-2095540.0829025218	1134915.724411455
-2122065.906736731	1134832.5123343894
-2148591.7305709403	1134745.6137108214
-2175117.554405149	1134654.7954007846
-2201643.3782393583	1134559.8043208155
-2228169.2020735675	1134460.3654000768
-2254695.0259077763	1134356.178845507
-2281220.8497419856	1134246.9174236653
-2307746.673576195	1134132.227263579
-2334272.497410404	1134011.7084467534
-2360798.321244613	1133884.9326636912
-2387324.1450788225	1133751.4240043173
-2413849.9689130313	1133610.6563592083
-2440375.7927472405	1133462.0462935397
-2466901.6165814493	1133304.9445789321
-2493427.4404156585	1133138.6262570685
-2519953.2642498678	1132962.2841832205
-2546479.088084077	1132774.9939245177
-2573004.911918286	1132575.7247365762
-2599530.735752495	1132363.299781165
-2626056.5595867042	1132136.3731768294
-2652582.3834209135	1131893.3960265662
-2679108.2072551223	1131632.5821254023
-2705634.0310893315	1131351.8204287337
-2732159.854923541	1131048.64267443
-2758685.67875775	1130720.0997307256
-2785211.5025919587	1130362.6390059618
-2811737.326426168	1129971.8887230835
-2838263.150260377	1129542.4330923
-2864788.974094586	1129067.345815133
-2891314.7979287948	1128537.541019421
-2917840.6217630045	1127940.7693400267
-2944366.4455972137	1127259.427517461
-2970892.269431422	1126466.8931601455
-2997418.093265632	1125517.6124394443
-3023943.917099841	1124317.169473254
-3050469.74093405	1122523.9930790756
-3076995.564768259	-1137668.740922912
-3103521.3886024687	-1137670.4563759593
-3130047.2124366774	-1137672.155376065
-3156573.0362708867	-1137673.8359014145
-3183098.8601050954	-1137675.4982749529
-3209624.683939305	-1137677.142756759
-3236150.5077735144	-1137678.7696031502
-3262676.331607723	-1137680.3790661364
-3289202.1554419324	-1137681.9713924776
-3315727.979276142	-1137683.5468253652
-3342253.803110351	-1137685.1056033757
-3368779.6269445596	-1137686.6479609334
-3395305.450778769	-1137688.1741283042
-3421831.274612978	-1137689.68433177
-3448357.098447187	-1137691.1787935835
-3474882.922281396	-1137692.6577321948
-3501408.7461156053	-1137694.121362271
-3527934.5699498146	-1137695.5698947604
-3554460.3937840234	-1137697.0035369862
-3580986.2176182326	-1137698.4224927386
-3607512.041452442	-1137699.826962282
-3634037.865286651	-1137701.2171427072
-3660563.68912086	-1137702.5932271709
-3687089.51295507	-1137703.9554061326
-3713615.3367892783	-1137705.3038666735
-3740141.1606234876	-1137706.638792695
-3766666.9844576963	-1137707.9603650384
-3793192.8082919056	-1137709.2687615296
-3819718.632126115	-1137710.5641570792
-3846244.455960324	-1137711.8467236464
-3872770.279794533	-1137713.116630371
-3899296.103628742	-1137714.3740437692
-3925821.9274629517	-1137715.6191271432
-3952347.75129716	-1137716.8520416117
-3978873.5751313693	-1137718.0729455051
