H (A/m)	M (A/m)
3978873.5751313814	992395.274872109
3713615.3367892895	992381.7783307275
3448357.0984471976	992366.5885659107
3183098.8601051057	992349.4094943103
2917840.621763014	992329.8771089766
2652582.3834209214	992307.5399488875
2387324.145078829	992281.832535968
2122065.906736737	992252.038877083
1856807.6683946445	992217.241508178
1591549.4300525526	992176.2491401252
1326291.1917104605	992127.4918694835
1061032.9533683686	992068.8662569029
795774.7150262764	991997.500329306
530516.4766841844	991909.3876271283
265258.2383420923	991798.7979146696
2.6504622331100836e-10	991657.2932357865
-265258.2383420918	991472.0086848289
-530516.4766841839	991222.4835677227
-795774.715026276	990874.411779831
-1061032.9533683679	990366.2100940057
-1326291.19171046	989576.3695183969
-1591549.4300525521	988228.9426641217
-1856807.668394644	985515.9782461823
-2122065.906736736	-992252.0388757846
-2387324.145078829	-992281.8318528708
-2652582.383420921	-992307.5395129448
-2917840.621763013	-992329.8768380188
-3183098.860105105	-992349.4093345668
-3448357.098447197	-992366.5884821557
-3713615.336789289	-992381.7782975947
-3978873.575131381	-992395.274938543
