H (A/m)	M (A/m)
3978873.5751313814	1110327.5574739487
3952347.751297172	1110326.3381501148
3925821.9274629634	1110325.1064710354
3899296.103628754	1110323.862326814
3872770.279794545	1110322.6055596317
3846244.4559603357	1110321.3359978406
3819718.632126127	1110320.0534668693
3793192.808291918	1110318.7577846616
3766666.9844577084	1110317.4487794363
3740141.160623499	1110316.1262630702
3713615.3367892904	1110314.7900487224
3687089.512955081	1110313.4399411737
3660563.689120872	1110312.0757567843
3634037.8652866627	1110310.6972891546
3607512.041452454	1110309.3043471077
3580986.2176182447	1110307.8967222797
3554460.3937840355	1110306.4742030723
3527934.569949826	1110305.0365864327
3501408.7461156175	1110303.5836534444
3474882.922281408	1110302.1151853325
3448357.098447199	1110300.6309562793
3421831.27461299	1110299.1307457285
3395305.450778781	1110297.6143198395
3368779.6269445717	1110296.0814436097
3342253.8031103625	1110294.5318777494
3315727.9792761537	1110292.9653786214
3289202.1554419445	1110291.3816980778
3262676.3316077353	1110289.7805834278
3236150.507773526	1110288.1617759764
3209624.6839393172	1110286.5250161923
3183098.8601051085	1110284.8700357538
3156573.0362708988	1110283.196562629
3130047.2124366895	1110281.504319681
3103521.3886024808	1110279.7930245695
3076995.564768272	1110278.0623895922
3050469.7409340623	1110276.3121215752
3023943.917099853	1110274.5419217988
2997418.0932656443	1110272.7514857838
2970892.269431435	1110270.9405032184
2944366.445597226	1110269.1086583068
2917840.621763017	1110267.2556293986
2891314.797928808	1110265.3810848617
2864788.9740945986	1110263.4846912662
2838263.15026039	1110261.5661069453
2811737.3264261805	1110259.624983515
2785211.5025919713	1110257.660965714
2758685.678757762	1110255.6736912164
2732159.854923553	1110253.6627905136
2705634.031089344	1110251.6278866767
2679108.207255135	1110249.5685957256
2652582.383420926	1110247.4845244882
2626056.5595867164	1110245.375273267
2599530.7357525076	1110243.2404337646
2573004.911918299	1110241.079589358
2546479.088084089	1110238.8923148871
2519953.26424988	1110236.6781764391
2493427.440415671	1110234.4367311727
2466901.616581462	1110232.1675269848
2440375.792747252	1110229.870102426
2413849.9689130434	1110227.5439863657
2387324.1450788346	1110225.1887003114
2360798.3212446254	1110222.8037480763
2334272.497410416	1110220.3886305236
2307746.6735762074	1110217.9428353757
2281220.849741998	1110215.4658394132
2254695.025907789	1110212.957108182
2228169.2020735797	1110210.4160956943
2201643.378239371	1110207.8422441415
2175117.5544051616	1110205.2349835737
2148591.7305709524	1110202.5937316006
2122065.906736743	1110199.9178930195
2095540.0829025342	1110197.2068595297
2069014.2590683252	1110194.460014412
2042488.4352341164	1110191.6767121141
2015962.611399907	1110188.856307675
1989436.7875656977	1110185.9981366887
1962910.963731489	1110183.1015197611
1936385.1398972794	1110180.1657620857
1909859.31606307	1110177.1901530265
1883333.4922288612	1110174.1739657621
1856807.6683946522	1110171.1164566588
1830281.8445604432	1110168.0168729182
1803756.020726234	1110164.8744206387
1777230.196892025	1110161.6883109135
1750704.3730578157	1110158.4577285447
1724178.5492236067	1110155.1818391965
1697652.7253893975	1110151.85978873
1671126.9015551885	1110148.4907027818
1644601.0777209792	1110145.0736860894
1618075.2538867702	1110141.607832823
1591549.430052561	1110138.0921827268
1565023.6062183513	1110134.5257847302
1538497.7823841427	1110130.9076538044
1511971.9585499333	1110127.2367808188
1485446.1347157238	1110123.5121318912
1458920.3108815148	1110119.732647462
1432394.4870473053	1110115.8972417614
1405868.663213096	1110112.0048149992
1379342.8393788866	1110108.0542004653
1352817.0155446772	1110104.0442412007
1326291.1917104684	1110099.9737378354
1299765.367876259	1110095.841460523
1273239.5440420494	1110091.646147792
1246713.7202078402	1110087.3865026142
1220187.8963736307	1110083.061204061
1193662.0725394217	1110078.6688865125
1167136.2487052123	1110074.2081525228
1140610.424871003	1110069.6775676636
1114084.6010367938	1110065.0756594008
1087558.7772025845	1110060.4009160956
1061032.9533683753	1110055.65178607
1034507.129534166	1110050.826675165
1007981.3056999566	1110045.923946705
981455.4818657474	1110040.9419190253
954929.658031538	1110035.8788648448
928403.8341973288	1110030.7330090457
901878.0103631194	1110025.5025276237
875352.1865289103	1110020.185545699
848826.3626947008	1110014.780135935
822300.5388604916	1110009.284316811
795774.7150262822	1110003.6960492404
769248.8911920731	1109998.0132406633
742723.0673578638	1109992.233732185
716197.2435236546	1109986.3553080084
689671.4196894455	1109980.3756839493
663145.5958552363	1109974.2925128127
636619.772021027	1109968.103376037
610093.9481868178	1109961.8057847966
583568.1243526087	1109955.3971759214
557042.3005183995	1109948.874909681
530516.4766841902	1109942.236266813
503990.65284998104	1109935.4784461071
477464.82901577186	1109928.5985608974
450939.0051815626	1109921.59363575
424413.18134735344	1109914.4606037454
397887.35751314426	1109907.1963027695
371361.53367893497	1109899.797471695
344835.70984472585	1109892.2607468367
318309.8860105166	1109884.5826581456
291784.0621763074	1109876.7596248642
265258.2383420982	1109868.7879514084
238732.414507889	1109860.663822689
212206.5906736798	1109852.3832997363
185680.76683947057	1109843.94231439
159154.9430052614	1109835.3366646145
132629.1191710522	1109826.5620085443
106103.29533684293	1109817.6138596798
79577.47150263375	1109808.4875797776
53051.64766842457	1109799.1783741736
26525.82383421531	1109789.6812837853
6.1733682846189024e-09	1109779.991178893
-26525.823834202976	1109770.1027530013
-53051.64766841223	1109760.0105133152
-79577.47150262143	1109749.7087746684
-106103.2953368306	1109739.1916496637
-132629.11917103978	1109728.453041901
-159154.94300524905	1109717.4866356088
-185680.76683945823	1109706.285885425
-212206.5906736675	1109694.84400706
-238732.4145078767	1109683.1539676976
-265258.23834208585	1109671.2084725616
-291784.06217629503	1109658.9999550988
-318309.8860105043	1109646.5205616879
-344835.7098447135	1109633.7621432366
-371361.5336789227	1109620.7162368735
-397887.3575131319	1109607.3740536857
-424413.18134734116	1109593.7264621395
-450939.00518155034	1109579.7639724961
-477464.8290157596	1109565.4767193738
-503990.65284996876	1109550.8544435494
-530516.476684178	1109535.8864727167
-557042.3005183872	1109520.5617009706
-583568.1243525964	1109504.8685674798
-610093.9481868056	1109488.7950334225
-636619.7720210148	1109472.3285579148
-663145.595855224	1109455.4560724606
-689671.4196894332	1109438.1639520184
-716197.2435236424	1109420.437990031
-742723.0673578517	1109402.2633632827
-769248.8911920608	1109383.6246015271
-795774.7150262699	1109364.5055523084
-822300.5388604793	1109344.8893448368
-848826.3626946885	1109324.758347126
-875352.1865288978	1109304.0941291007
-901878.0103631071	1109282.8774143192
-928403.8341973164	1109261.0880347213
-954929.6580315257	1109238.704874165
-981455.4818657349	1109215.705820428
-1007981.3056999443	1109192.0677064846
-1034507.1295341535	1109167.7662427602
-1061032.9533683627	1109142.7759564403
-1087558.7772025722	1109117.070112269
-1114084.6010367814	1109090.6206448274
-1140610.424870991	1109063.3980705265
-1167136.2487052	1109035.3714006385
-1193662.0725394094	1109006.5080477388
-1220187.8963736186	1108976.773713797
-1246713.7202078279	1108946.132297647
-1273239.5440420373	1108914.5457619785
-1299765.3678762466	1108881.974002165
-1326291.1917104558	1108848.3747250813
-1352817.015544665	1108813.703273589
-1379342.8393788743	1108777.912494838
-1405868.6632130835	1108740.9525230988
-1432394.487047293	1108702.7706357855
-1458920.3108815022	1108663.3110219804
-1485446.1347157112	1108622.514538343
-1511971.9585499207	1108580.3184768686
-1538497.78238413	1108536.6563249629
-1565023.6062183394	1108491.4574505638
-1591549.4300525486	1108444.6467338202
-1618075.253886758	1108396.1443067454
-1644601.0777209667	1108345.8651270096
-1671126.9015551761	1108293.7184824552
-1697652.7253893851	1108239.609571049
-1724178.5492235944	1108183.4314920008
-1750704.3730578034	1108125.0754355018
-1777230.1968920128	1108064.4231970974
-1803756.0207262216	1108001.3480602251
-1830281.8445604306	1107935.7140753332
-1856807.66839464	1107867.3751785469
-1883333.4922288489	1107796.1742516551
-1909859.316063058	1107721.9420465492
-1936385.139897267	1107644.4959683758
-1962910.9637314763	1107563.6387485731
-1989436.7875656853	1107479.1569145077
-2015962.6113998946	1107390.8190747784
-2042488.435234104	1107298.3739411957
-2069014.2590683128	1107201.548156824
-2095540.0829025218	1107100.0437680592
-2122065.906736731	1106993.5352843134
-2148591.7305709403	1106881.670108349
-2175117.554405149	1106764.0508766603
-2201643.3782393583	1106640.2505411082
-2228169.2020735675	1106509.794753703
-2254695.0259077763	1106372.1588672474
-2281220.8497419856	1106226.7607876055
-2307746.673576195	1106072.9524550238
-2334272.497410404	1105910.0098530075
-2360798.321244613	1105737.125998052
-2387324.1450788225	1105553.3778213374
-2413849.9689130313	1105357.7341622494
-2440375.7927472405	1105149.01787399
-2466901.6165814493	1104925.88223125
-2493427.4404156585	1104686.7768571365
-2519953.2642498678	1104429.9128416497
-2546479.088084077	1104153.1782488483
-2573004.911918286	1103854.1014646762
-2599530.735752495	1103529.7307771132
-2626056.5595867042	1103176.5108819334
-2652582.3834209135	1102790.0791364089
-2679108.2072551223	1102365.0046856669
-2705634.0310893315	1101894.4000344982
-2732159.854923541	1101369.2190809255
-2758685.67875775	1100777.3121706883
-2785211.5025919587	1100101.314497577
