H (A/m)	M (A/m)
3978873.5751313814	627446.0684116775
3952347.751297172	627445.3247364409
3925821.9274629634	627444.5697959911
3899296.103628754	627443.8033420552
3872770.279794545	627443.0251537167
3846244.4559603357	627442.2349887043
3819718.632126127	627441.4325997067
3793192.808291918	627440.617732994
3766666.9844577084	627439.790126113
3740141.160623499	627438.9495159815
3713615.3367892904	627438.0956263389
3687089.512955081	627437.2281756786
3660563.689120872	627436.3468722305
3634037.8652866627	627435.4514245872
3607512.041452454	627434.5415223562
3580986.2176182447	627433.6168583389
3554460.3937840355	627432.6771111182
3527934.569949826	627431.7219444247
3501408.7461156175	627430.7510183298
3474882.922281408	627429.7639904654
3448357.098447199	627428.7604957386
3421831.27461299	627427.7401689271
3395305.450778781	627426.7026336569
3368779.6269445717	627425.6474950723
3342253.8031103625	627424.5743565541
3315727.9792761537	627423.482803598
3289202.1554419445	627422.372411891
3262676.3316077353	627421.242744832
3236150.507773526	627420.0933518531
3209624.6839393172	627418.9237728099
3183098.8601051085	627417.7335303338
3156573.0362708988	627416.5221340937
3130047.2124366895	627415.2890790933
3103521.3886024808	627414.0338451752
3076995.564768272	627412.7558964324
3050469.7409340623	627411.4546806513
3023943.917099853	627410.1296287435
2997418.0932656443	627408.7801540471
2970892.269431435	627407.4056517202
2944366.445597226	627406.0054980679
2917840.621763017	627404.5790497991
2891314.797928808	627403.1256433168
2864788.9740945986	627401.6445939053
2838263.15026039	627400.1351962016
2811737.3264261805	627398.5967184014
2785211.5025919713	627397.0284086487
2758685.678757762	627395.429489359
2732159.854923553	627393.7991573863
2705634.031089344	627392.1365830239
2679108.207255135	627390.4409089548
2652582.383420926	627388.7112491168
2626056.5595867164	627386.9466900857
2599530.7357525076	627385.1462798493
2573004.911918299	627383.3090413295
2546479.088084089	627381.4339612849
2519953.26424988	627379.5199913529
2493427.440415671	627377.5660465272
2466901.616581462	627375.5710077841
2440375.792747252	627373.5337040678
2413849.9689130434	627371.452934828
2387324.1450788346	627369.3274522626
2360798.3212446254	627367.1559633753
2334272.497410416	627364.9371337568
2307746.6735762074	627362.6695628765
2281220.849741998	627360.3518152643
2254695.025907789	627357.9824106001
2228169.2020735797	627355.5597703034
2201643.378239371	627353.0822984611
2175117.5544051616	627350.5483240084
2148591.7305709524	627347.9561116296
2122065.906736743	627345.3038588095
2095540.0829025342	627342.5896924761
2069014.2590683252	627339.8116658838
2042488.4352341164	627336.9677550033
2015962.611399907	627334.0558545606
1989436.7875656977	627331.0737745643
1962910.963731489	627328.0192357512
1936385.1398972794	627324.8898654263
1909859.31606307	627321.6831926623
1883333.4922288612	627318.3966434504
1856807.6683946522	627315.0275354459
1830281.8445604432	627311.5730724566
1803756.020726234	627308.0303386153
1777230.196892025	627304.396291604
1750704.3730578157	627300.667758087
1724178.5492236067	627296.841423446
1697652.7253893975	627292.9138268137
1671126.9015551885	627288.8813522826
1644601.0777209792	627284.740220673
1618075.2538867702	627280.486480371
1591549.430052561	627276.1159978311
1565023.6062183513	627271.6244481995
1538497.7823841427	627267.007302606
1511971.9585499333	627262.259818746
1485446.1347157238	627257.3770269027
1458920.3108815148	627252.3537177062
1432394.4870473053	627247.1844276955
1405868.663213096	627241.863424179
1379342.8393788866	627236.3846893365
1352817.0155446772	627230.7419027664
1326291.1917104684	627224.9284231659
1299765.367876259	627218.9372682387
1273239.5440420494	627212.7610935749
1246713.7202078402	627206.3921698146
1220187.8963736307	627199.8223576822
1193662.0725394217	627193.0430820601
1167136.2487052123	627186.0453034431
1140610.424871003	627178.8194867527
1114084.6010367938	627171.3555690342
1087558.7772025845	627163.642922863
1061032.9533683753	627155.6703191639
1034507.129534166	627147.4258840312
1007981.3056999566	627138.8970544826
981455.4818657474	627130.0705292692
954929.658031538	627120.932216256
928403.8341973288	627111.4671748742
901878.0103631194	627101.6595533544
875352.1865289103	627091.4925217573
848826.3626947008	627080.9481970378
822300.5388604916	627070.0075629025
795774.7150262822	627058.6503821689
769248.8911920731	627046.855101291
742723.0673578638	627034.5987439451
716197.2435236546	627021.8567974826
689671.4196894455	627008.6030876465
663145.5958552363	626994.8096376215
636619.772021027	626980.4465195104
610093.9481868178	626965.4816838854
583568.1243526087	626949.8807784563
557042.3005183995	626933.6069424101
530516.4766841902	626916.620584032
503990.65284998104	626898.879127862
477464.82901577186	626880.3367423145
450939.0051815626	626860.9440314124
424413.18134735344	626840.6476930726
397887.35751314426	626819.3901394522
371361.53367893497	626797.1090722491
344835.70984472585	626773.7370051752
318309.8860105166	626749.2007339943
291784.0621763074	626723.420736336
265258.2383420982	626696.3104940823
238732.414507889	626667.775736478
212206.5906736798	626637.7135806392
185680.76683947057	626606.0115432176
159154.9430052614	626572.546451728
132629.1191710522	626537.183157753
106103.29533684293	626499.7731085797
79577.47150263375	626460.1526681307
53051.64766842457	626418.1421486496
26525.82383421531	626373.5401413857
6.1733682846189024e-09	626326.1258626817
-26525.823834202976	626275.6531586376
-53051.64766841223	626221.8477091005
-79577.47150262143	626164.4030283933
-106103.2953368306	626102.9757036521
-132629.11917103978	626037.1797719365
-159154.94300524905	625966.5800696829
-185680.76683945823	625890.6842405474
-212206.5906736675	625808.9332337135
-238732.4145078767	625720.6897839363
-265258.23834208585	625625.2243137461
-291784.06217629503	625521.7000502556
-318309.8860105043	625409.1442711508
-344835.7098447135	625286.4323175184
-371361.5336789227	625152.248336413
-397887.3575131319	625005.0467607492
-424413.18134734116	624842.992931961
-450939.00518155034	624663.9014255624
-477464.8290157596	624465.1402713538
-503990.65284996876	624243.5117685301
-530516.476684178	623995.0814537478
-557042.3005183872	623714.9533502597
-583568.1243525964	623396.9399387501
-610093.9481868056	623033.0863824206
-636619.7720210148	622612.9309876452
-663145.595855224	622122.3728155913
-689671.4196894332	621541.7551233147
-716197.2435236424	620842.439400499
-742723.0673578517	619980.0660386177
-769248.8911920608	618879.4935167889
-795774.7150262699	617391.9156604483
-822300.5388604793	615101.4562904272
-848826.3626946885	-627080.9482389507
-875352.1865288978	-627091.4925297265
-901878.0103631071	-627101.6593602971
-928403.8341973164	-627111.4683346347
-954929.6580315257	-627120.9308547332
-981455.4818657349	-627130.0702530523
-1007981.3056999443	-627138.8958657841
-1034507.1295341535	-627147.425125321
-1061032.9533683627	-627155.669738684
-1087558.7772025722	-627163.642397029
-1114084.6010367814	-627171.3550685268
-1140610.424870991	-627178.8190171428
-1167136.2487052	-627186.0455812847
-1193662.0725394094	-627193.0434820896
-1220187.8963736186	-627199.822882747
-1246713.7202078279	-627206.3928419838
-1273239.5440420373	-627212.7617726262
-1299765.3678762466	-627218.9381032657
-1326291.1917104558	-627224.9287367082
-1352817.015544665	-627230.742227626
-1379342.8393788743	-627236.3844979625
-1405868.6632130835	-627241.8631600882
-1432394.487047293	-627247.1840536131
-1458920.3108815022	-627252.353102348
-1485446.1347157112	-627257.3763455846
-1511971.9585499207	-627262.2593654402
-1538497.78238413	-627267.0072709434
-1565023.6062183394	-627271.6248172586
-1591549.4300525486	-627276.115739492
-1618075.253886758	-627280.4862403079
-1644601.0777209667	-627284.7397189006
-1671126.9015551761	-627288.8814368491
-1697652.7253893851	-627292.9133066653
-1724178.5492235944	-627296.841722367
-1750704.3730578034	-627300.6648878709
-1777230.1968920128	-627304.3948517668
-1803756.0207262216	-627308.0289338228
-1830281.8445604306	-627311.5725551709
-1856807.66839464	-627315.0264199437
-1883333.4922288489	-627318.3955895388
-1909859.316063058	-627321.6808033332
-1936385.139897267	-627324.8876222308
-1962910.9637314763	-627328.0170728078
-1989436.7875656853	-627331.071690248
-2015962.6113998946	-627334.0538452303
-2042488.435234104	-627336.965817656
-2069014.2590683128	-627339.809798176
-2095540.0829025218	-627342.5878911862
-2122065.906736731	-627345.3021215274
-2148591.7305709403	-627347.9544359491
-2175117.554405149	-627350.5467073427
-2201643.3782393583	-627353.0807386052
-2228169.2020735675	-627355.5582650657
-2254695.0259077763	-627357.9809577883
-2281220.8497419856	-627360.3504264103
-2307746.673576195	-627362.6682218171
-2334272.497410404	-627364.9358386548
-2360798.321244613	-627367.1547180308
-2387324.1450788225	-627369.3262492797
-2413849.9689130313	-627371.4517725804
-2440375.7927472405	-627373.5325811002
-2466901.6165814493	-627375.5699225833
-2493427.4404156585	-627377.565001683
-2519953.2642498678	-627379.5189814217
-2546479.088084077	-627381.4329849323
-2573004.911918286	-627383.3080974494
-2599530.735752495	-627385.1453672182
-2626056.5595867042	-627386.9458075791
-2652582.3834209135	-627388.7103981207
-2679108.2072551223	-627390.4400858498
-2705634.0310893315	-627392.1357868215
-2732159.854923541	-627393.7983870774
-2758685.67875775	-627395.4287441205
-2785211.5025919587	-627397.027687542
-2811737.326426168	-627398.5960206192
-2838263.150260377	-627400.1345210281
-2864788.974094586	-627401.6439416425
-2891314.7979287948	-627403.1250119722
-2917840.6217630045	-627404.5784391228
-2944366.4455972137	-627406.0049069413
-2970892.269431422	-627407.4050793806
-2997418.093265632	-627408.7795999227
-3023943.917099841	-627410.1290921904
-3050469.74093405	-627411.4541609888
-3076995.564768259	-627412.7553931678
-3103521.3886024687	-627414.0333577491
-3130047.2124366774	-627415.2886069681
-3156573.0362708867	-627416.5216767766
-3183098.8601050954	-627417.7330873585
-3209624.683939305	-627418.9233436842
-3236150.5077735144	-627420.0929361193
-3262676.331607723	-627421.2423406338
-3289202.1554419324	-627422.3720202576
-3315727.979276142	-627423.4824241111
-3342253.803110351	-627424.5739888317
-3368779.6269445596	-627425.6471387412
-3395305.450778769	-627426.7022862257
-3421831.274612978	-627427.7398322148
-3448357.098447187	-627428.7601665106
-3474882.922281396	-627429.7636682644
-3501408.7461156053	-627430.7507060951
-3527934.5699498146	-627431.7216386119
-3554460.3937840234	-627432.6768147653
-3580986.2176182326	-627433.6165740093
-3607512.041452442	-627434.5412467428
-3634037.865286651	-627435.4511545687
-3660563.68912086	-627436.3466105292
-3687089.51295507	-627437.2279194094
-3713615.3367892783	-627438.0953779604
-3740141.1606234876	-627438.9492752405
-3766666.9844576963	-627439.789892749
-3793192.8082919056	-627440.617504749
-3819718.632126115	-627441.4323785133
-3846244.455960324	-627442.2347743203
-3872770.279794533	-627443.0249458384
-3899296.103628742	-627443.8026673974
-3925821.9274629517	-627444.5696007775
-3952347.75129716	-627445.3241047307
-3978873.5751313693	-627446.0682455307
