H (A/m)	M (A/m)
3978873.5751313814	996526.3616752846
3952347.751297172	996525.1737924751
3925821.9274629634	996523.9726357501
3899296.103628754	996522.758032068
3872770.279794545	996521.5298037371
3846244.4559603357	996520.2877417105
3819718.632126127	996519.0316326126
3793192.808291918	996517.7612724628
3766666.9844577084	996516.4764400021
3740141.160623499	996515.1769097856
3713615.3367892904	996513.8624651857
3687089.512955081	996512.5328683641
3660563.689120872	996511.1878930113
3634037.8652866627	996509.8272966852
3607512.041452454	996508.4508361096
3580986.2176182447	996507.0582603969
3554460.3937840355	996505.6493222733
3527934.569949826	996504.2237610377
3501408.7461156175	996502.7813136984
3474882.922281408	996501.3217119982
3448357.098447199	996499.8446823639
3421831.27461299	996498.3499443118
3395305.450778781	996496.837215851
3368779.6269445717	996495.3062052946
3342253.8031103625	996493.7566160539
3315727.9792761537	996492.1881458467
3289202.1554419445	996490.6004860771
3262676.3316077353	996488.993321813
3236150.507773526	996487.3663315979
3209624.6839393172	996485.7191906522
3183098.8601051085	996484.0515576088
3156573.0362708988	996482.3630920958
3130047.2124366895	996480.6534481627
3103521.3886024808	996478.922267797
3076995.564768272	996477.1691869829
3050469.7409340623	996475.3938339882
3023943.917099853	996473.5958291118
2997418.0932656443	996471.7747845297
2970892.269431435	996469.9303040731
2944366.445597226	996468.061982958
2917840.621763017	996466.1694079989
2891314.797928808	996464.2521559653
2864788.9740945986	996462.3097953262
2838263.15026039	996460.3418847485
2811737.3264261805	996458.3479731084
2785211.5025919713	996456.3275992724
2758685.678757762	996454.2802918234
2732159.854923553	996452.2055687563
2705634.031089344	996450.1029372268
2679108.207255135	996447.9718932279
2652582.383420926	996445.8119234835
2626056.5595867164	996443.622496493
2599530.7357525076	996441.4030750185
2573004.911918299	996439.1531073077
2546479.088084089	996436.8720288125
2519953.26424988	996434.5592618721
2493427.440415671	996432.2142153031
2466901.616581462	996429.836284053
2440375.792747252	996427.4248487626
2413849.9689130434	996424.9792754018
2387324.1450788346	996422.4989148339
2360798.3212446254	996419.9831067754
2334272.497410416	996417.4311619153
2307746.6735762074	996414.8423873334
2281220.849741998	996412.2160689533
2254695.025907789	996409.5514752422
2228169.2020735797	996406.8478567327
2201643.378239371	996404.1044454334
2175117.5544051616	996401.3204543771
2148591.7305709524	996398.4950769107
2122065.906736743	996395.6274933388
2095540.0829025342	996392.7168421042
2069014.2590683252	996389.7622609497
2042488.4352341164	996386.7628587015
2015962.611399907	996383.717721379
1989436.7875656977	996380.6259115336
