H (A/m)	M (A/m)
3978873.5751313814	701892.4488564613
3952347.751297172	701891.5743154165
3925821.9274629634	701890.6872705737
3899296.103628754	701889.7874709254
3872770.279794545	701888.8746827975
3846244.4559603357	701887.9486546911
3819718.632126127	701887.0091289863
3793192.808291918	701886.0558387247
3766666.9844577084	701885.0885194151
3740141.160623499	701884.1068910327
3713615.3367892904	701883.1106662174
3687089.512955081	701882.0995573465
3660563.689120872	701881.0732690323
3634037.8652866627	701880.0314893245
3607512.041452454	701878.973910397
3580986.2176182447	701877.9002055159
3554460.3937840355	701876.8100549127
3527934.569949826	701875.7031067916
3501408.7461156175	701874.5790162095
3474882.922281408	701873.4374335778
3448357.098447199	701872.2779877451
3421831.27461299	701871.1003084389
3395305.450778781	701869.9040082933
3368779.6269445717	701868.6886921136
3342253.8031103625	701867.4539541062
3315727.9792761537	701866.1993776049
3289202.1554419445	701864.9245333245
3262676.3316077353	701863.6289843961
3236150.507773526	701862.312277965
3209624.6839393172	701860.9739500948
3183098.8601051085	701859.6135240418
3156573.0362708988	701858.2305098382
3130047.2124366895	701856.8244038301
3103521.3886024808	701855.3946882712
3076995.564768272	701853.9408306759
3050469.7409340623	701852.4622835548
3023943.917099853	701850.9584837471
2997418.0932656443	701849.4288519194
2970892.269431435	701847.8727921001
2944366.445597226	701846.2896906941
2917840.621763017	701844.678916466
2891314.797928808	701843.0398208599
2864788.9740945986	701841.3717321891
2838263.15026039	701839.6739626832
2811737.3264261805	701837.9458026866
2785211.5025919713	701836.186521177
2758685.678757762	701834.3953649603
2732159.854923553	701832.5715579
2705634.031089344	701830.7143000186
2679108.207255135	701828.822766683
2652582.383420926	701826.8961105092
2626056.5595867164	701824.933448984
2599530.7357525076	701822.9338804056
2573004.911918299	701820.8964717016
2546479.088084089	701818.8202600431
2519953.26424988	701816.7042517432
2493427.440415671	701814.5474256157
2466901.616581462	701812.3487135893
2440375.792747252	701810.1070262728
2413849.9689130434	701807.8212338733
2387324.1450788346	701805.4901691858
2360798.3212446254	701803.1126260238
2334272.497410416	701800.6873641902
2307746.6735762074	701798.2130820861
2281220.849741998	701795.6884531139
2254695.025907789	701793.1120987424
2228169.2020735797	701790.4826076918
2201643.378239371	701787.798475293
2175117.5544051616	701785.0581883343
2148591.7305709524	701782.2601654056
2122065.906736743	701779.4027689109
2095540.0829025342	701776.4843027245
2069014.2590683252	701773.5030095318
2042488.4352341164	701770.4570682325
2015962.611399907	701767.3445909896
1989436.7875656977	701764.1636203835
1962910.963731489	701760.9121263202
1936385.1398972794	701757.5880027409
1909859.31606307	701754.1890641017
1883333.4922288612	701750.71304181
1856807.6683946522	701747.157580416
1830281.8445604432	701743.5202334429
1803756.020726234	701739.798459258
1777230.196892025	701735.9896167632
1750704.3730578157	701732.0909600625
1724178.5492236067	701728.0996335495
1697652.7253893975	701724.0126686081
