H (A/m)	M (A/m)
3978873.5751313814	450493.8632023671
3713615.3367892895	450489.4244209514
3448357.0984471976	450484.10322652606
3183098.8601051057	450477.6489802491
2917840.621763014	450469.7151946739
2652582.3834209214	450459.811875977
2387324.145078829	450447.2277018844
2122065.906736737	450430.8980246977
1856807.6683946445	450409.1707945953
1591549.4300525526	450379.36885784287
1326291.1917104605	450336.9170559364
1061032.9533683686	450273.4567118206
795774.7150262764	450172.3326546776
530516.4766841844	449996.20434462256
265258.2383420923	449645.6690741644
2.6504622331100836e-10	448769.89691406884
-265258.2383420918	445055.5017314724
-530516.4766841839	-449996.2049148924
-795774.715026276	-450172.33335452224
-1061032.9533683679	-450273.4562573029
-1326291.19171046	-450336.9168900027
-1591549.4300525521	-450379.3684393343
-1856807.668394644	-450409.17067749443
-2122065.906736736	-450430.89801544324
-2387324.145078829	-450447.22772773285
-2652582.383420921	-450459.8119093682
-2917840.621763013	-450469.7152412763
-3183098.860105105	-450477.6490301397
-3448357.098447197	-450484.10273392504
-3713615.336789289	-450489.4253059523
-3978873.575131381	-450493.8636524839
