H (A/m)	M (A/m)
3978873.5751313814	871973.7360121955
3952347.751297172	871972.6373779868
3925821.9274629634	871971.5250886978
3899296.103628754	871970.3989278184
3872770.279794545	871969.2586724767
3846244.4559603357	871968.104093981
3819718.632126127	871966.9349433697
3793192.808291918	871965.7509815646
3766666.9844577084	871964.5519497115
3740141.160623499	871963.3375974528
3713615.3367892904	871962.1076588124
3687089.512955081	871960.8618629812
3660563.689120872	871959.5999407609
3634037.8652866627	871958.3216096477
3607512.041452454	871957.0265834566
3580986.2176182447	871955.7145697285
3554460.3937840355	871954.3852695418
3527934.569949826	871953.0383773769
3501408.7461156175	871951.6735796217
3474882.922281408	871950.2905595475
3448357.098447199	871948.8889894157
3421831.27461299	871947.4685380181
3395305.450778781	871946.0288589761
3368779.6269445717	871944.5696056023
3342253.8031103625	871943.090420818
3315727.9792761537	871941.5909378785
3289202.1554419445	871940.0707859157
3262676.3316077353	871938.5295811602
3236150.507773526	871936.9669323316
3209624.6839393172	871935.382439021
3183098.8601051085	871933.7756913962
3156573.0362708988	871932.1462699585
3130047.2124366895	871930.4937452532
3103521.3886024808	871928.8176776039
3076995.564768272	871927.11761699
3050469.7409340623	871925.3931019749
3023943.917099853	871923.643660545
2997418.0932656443	871921.8688090307
2970892.269431435	871920.0680519285
2944366.445597226	871918.2408816003
2917840.621763017	871916.3867778687
2891314.797928808	871914.5052076785
2864788.9740945986	871912.5956246685
2838263.15026039	871910.6574688333
2811737.3264261805	871908.6901678935
2785211.5025919713	871906.6931295651
2758685.678757762	871904.665752016
2732159.854923553	871902.6074162108
2705634.031089344	871900.5174871924
2679108.207255135	871898.3953136157
2652582.383420926	871896.240227221
2626056.5595867164	871894.0515423183
2599530.7357525076	871891.828555202
2573004.911918299	871889.5705473323
2546479.088084089	871887.276770056
2519953.26424988	871884.9464657303
2493427.440415671	871882.5788527916
2466901.616581462	871880.1731285558
2440375.792747252	871877.7284686419
2413849.9689130434	871875.2440261359
2387324.1450788346	871872.7189309808
2360798.3212446254	871870.152295077
2334272.497410416	871867.543187882
2307746.6735762074	871864.8906706673
2281220.849741998	871862.1937724997
2254695.025907789	871859.4514950904
2228169.2020735797	871856.6628118142
2201643.378239371	871853.8266668237
2175117.5544051616	871850.9419823333
2148591.7305709524	871848.0076243965
2122065.906736743	871845.0224511287
2095540.0829025342	871841.9852790198
2069014.2590683252	871838.8948897918
2042488.4352341164	871835.7500291906
2015962.611399907	871832.5494155639
1989436.7875656977	871829.2916994211
1962910.963731489	871825.9755253089
1936385.1398972794	871822.5994712285
1909859.31606307	871819.1620877235
1883333.4922288612	871815.6618753055
1856807.6683946522	871812.0972885203
1830281.8445604432	871808.4667340271
1803756.020726234	871804.7685683324
1777230.196892025	871801.001096646
1750704.3730578157	871797.1625703885
1724178.5492236067	871793.2511853174
1697652.7253893975	871789.2650794123
1671126.9015551885	871785.2023304312
1644601.0777209792	871781.0609537631
1618075.2538867702	871776.8389003642
1591549.430052561	871772.5340524972
1565023.6062183513	871768.1442237988
1538497.7823841427	871763.6671538561
1511971.9585499333	871759.1005068199
1485446.1347157238	871754.4418667703
1458920.3108815148	871749.6887383637
1432394.4870473053	871744.8385370544
1405868.663213096	871739.8885913175
1379342.8393788866	871734.8361355787
1352817.0155446772	871729.6783078053
1326291.1917104684	871724.4121452074
1299765.367876259	871719.034579319
1273239.5440420494	871713.5424316896
1246713.7202078402	871707.9324092711
1220187.8963736307	871702.201099198
1193662.0725394217	871696.3449641718
1167136.2487052123	871690.3603356135
1140610.424871003	871684.2434090411
1114084.6010367938	871677.9902370826
1087558.7772025845	871671.5967235311
1061032.9533683753	871665.0586162135
1034507.129534166	871658.37149983
1007981.3056999566	871651.5307883675
981455.4818657474	871644.5317169887
954929.658031538	871637.3693338535
928403.8341973288	871630.0384907442
901878.0103631194	871622.5338338069
875352.1865289103	871614.8497936443
848826.3626947008	871606.9805746007
822300.5388604916	871598.9201437648
795774.7150262822	871590.6622191452
769248.8911920731	871582.2002564712
742723.0673578638	871573.5274372222
716197.2435236546	871564.6366531303
689671.4196894455	871555.520491682
663145.5958552363	871546.1712213982
636619.772021027	871536.5807740338
610093.9481868178	871526.740724728
583568.1243526087	871516.6422783136
557042.3005183995	871506.276242445
