H (A/m)	M (A/m)
3978873.5751313814	535058.7053823388
3952347.751297172	535058.1404052646
3925821.9274629634	535057.5662797772
3899296.103628754	535056.9827767437
3872770.279794545	535056.3897038344
3846244.4559603357	535055.786850467
3819718.632126127	535055.1740001865
3793192.808291918	535054.5509300238
3766666.9844577084	535053.9174122666
3740141.160623499	535053.2732112991
3713615.3367892904	535052.6180853271
3687089.512955081	535051.9517846536
3660563.689120872	535051.2740554716
3634037.8652866627	535050.5846336324
3607512.041452454	535049.8832483414
3580986.2176182447	535049.1696209101
3554460.3937840355	535048.443462728
3527934.569949826	535047.7044818909
3501408.7461156175	535046.9523725855
3474882.922281408	535046.1868217866
3448357.098447199	535045.4075068611
3421831.27461299	535044.6140955131
3395305.450778781	535043.8062428528
3368779.6269445717	535042.9836008867
3342253.8031103625	535042.1458007606
3315727.9792761537	535041.292472826
3289202.1554419445	535040.4232250733
3262676.3316077353	535039.5376615372
3236150.507773526	535038.6353731025
3209624.6839393172	535037.7159310166
3183098.8601051085	535036.7789011057
3156573.0362708988	535035.8238292511
3130047.2124366895	535034.8502489785
3103521.3886024808	535033.857678161
3076995.564768272	535032.845618028
3050469.7409340623	535031.813556545
3023943.917099853	535030.7609613928
2997418.0932656443	535029.6872835321
2970892.269431435	535028.5919554161
2944366.445597226	535027.4743902644
2917840.621763017	535026.3339811767
2891314.797928808	535025.1701005783
2864788.9740945986	535023.9820989692
2838263.15026039	535022.7693042639
2811737.3264261805	535021.5310207775
2785211.5025919713	535020.2665282119
2758685.678757762	535018.9750806116
2732159.854923553	535017.6559062467
2705634.031089344	535016.308202565
2679108.207255135	535014.9311406887
2652582.383420926	535013.5238603906
2626056.5595867164	535012.0854696474
2599530.7357525076	535010.6150432412
2573004.911918299	535009.1116212412
2546479.088084089	535007.5742094641
2519953.26424988	535006.0017698382
2493427.440415671	535004.3932304208
2466901.616581462	535002.7474758398
2440375.792747252	535001.0633472323
2413849.9689130434	534999.3396402046
2387324.1450788346	534997.5751061387
2360798.3212446254	534995.7684362272
2334272.497410416	534993.9182792199
2307746.6735762074	534992.023225663
2281220.849741998	534990.0818084193
2254695.025907789	534988.0925170339
2228169.2020735797	534986.0537269778
2201643.378239371	534983.9637964959
2175117.5544051616	534981.8209974172
2148591.7305709524	534979.6235278441
2122065.906736743	534977.3695083209
2095540.0829025342	534975.0569777506
2069014.2590683252	534972.6838890907
2042488.4352341164	534970.2481049008
2015962.611399907	534967.7473923028
1989436.7875656977	534965.1794179119
1962910.963731489	534962.5417424438
1936385.1398972794	534959.8318146688
1909859.31606307	534957.0469653554
1883333.4922288612	534954.1844005967
1856807.6683946522	534951.2411946829
1830281.8445604432	534948.2142826164
1803756.020726234	534945.1004520569
1777230.196892025	534941.8963346706
1750704.3730578157	534938.5983964604
1724178.5492236067	534935.2029297561
1697652.7253893975	534931.7060405457
1671126.9015551885	534928.103637475
1644601.0777209792	534924.3914209437
1618075.2538867702	534920.564869175
1591549.430052561	534916.6192251241
1565023.6062183513	534912.5494802524
1538497.7823841427	534908.3503596408
1511971.9585499333	534904.0163043885
1485446.1347157238	534899.5414523819
1458920.3108815148	534894.9196190892
1432394.4870473053	534890.1442754244
1405868.663213096	534885.2085245264
1379342.8393788866	534880.1050765162
1352817.0155446772	534874.8262212257
1326291.1917104684	534869.3637986925
1299765.367876259	534863.7091671738
1273239.5440420494	534857.8531684604
1246713.7202078402	534851.7860904294
1220187.8963736307	534845.4976256054
1193662.0725394217	534838.9768275392
1167136.2487052123	534832.2120617295
1140610.424871003	534825.1909537106
1114084.6010367938	534817.9003300756
1087558.7772025845	534810.3261577016
1061032.9533683753	534802.4534727167
1034507.129534166	534794.2663073756
1007981.3056999566	534785.7476061678
981455.4818657474	534776.8791359722
954929.658031538	534767.6413865399
928403.8341973288	534758.0134607299
901878.0103631194	534747.972954207
875352.1865289103	534737.4958226838
848826.3626947008	534726.5562340018
822300.5388604916	534715.1264058384
795774.7150262822	534703.1764254675
769248.8911920731	534690.6740483831
742723.0673578638	534677.5844764658
716197.2435236546	534663.8701093678
689671.4196894455	534649.4902672068
663145.5958552363	534634.4008810783
636619.772021027	534618.5541445699
610093.9481868178	534601.8981258726
583568.1243526087	534584.3763287355
557042.3005183995	534565.9271967943
530516.4766841902	534546.4835585174
503990.65284998104	534525.9719905521
477464.82901577186	534504.3121057797
450939.0051815626	534481.4157295421
424413.18134735344	534457.1859764421
397887.35751314426	534431.5161745587
371361.53367893497	534404.2886538658
344835.70984472585	534375.3733260565
318309.8860105166	534344.6260707438
291784.0621763074	534311.8868453739
265258.2383420982	534276.9775070586
238732.414507889	534239.6998788355
212206.5906736798	534199.830412621
185680.76683947057	534157.1199941371
159154.9430052614	534111.287741609
132629.1191710522	534062.0165353623
106103.29533684293	534008.9471663919
79577.47150263375	533951.6713179372
53051.64766842457	533889.7231010705
26525.82383421531	533822.5687801039
6.1733682846189024e-09	533749.5942590322
-26525.823834202976	533670.0897673231
-53051.64766841223	533583.2307998912
-79577.47150262143	533488.0557352789
-106103.2953368306	533383.4314893347
-132629.11917103978	533268.0217586727
-159154.94300524905	533140.2345951436
-185680.76683945823	532998.1615815255
-212206.5906736675	532839.4904466523
-238732.4145078767	532661.3995157642
-265258.23834208585	532460.4048522076
-291784.06217629503	532232.151318555
-318309.8860105043	531971.1187982891
-344835.7098447135	531670.1945060352
-371361.5336789227	531320.0379306118
-397887.3575131319	530908.0804056922
-424413.18134734116	530416.9263266912
-450939.00518155034	529821.5876049466
-477464.8290157596	529084.3145601065
-503990.65284996876	528144.054830267
-530516.476684178	526890.7247139659
-557042.3005183872	525083.7334162832
-583568.1243525964	521823.5927087927
-610093.9481868056	-534601.898199538
-636619.7720210148	-534618.5525311229
-663145.595855224	-534634.4029724853
-689671.4196894332	-534649.4925649539
-716197.2435236424	-534663.8726861767
-742723.0673578517	-534677.5851464478
-769248.8911920608	-534690.6746542569
-795774.7150262699	-534703.1766886492
-822300.5388604793	-534715.1269339797
-848826.3626946885	-534726.5565507992
-875352.1865288978	-534737.4959533471
-901878.0103631071	-534747.9728911736
-928403.8341973164	-534758.014890818
-954929.6580315257	-534767.6401877042
-981455.4818657349	-534776.878911501
-1007981.3056999443	-534785.7464528949
-1034507.1295341535	-534794.265522244
-1061032.9533683627	-534802.4528905279
-1087558.7772025722	-534810.3256350416
-1114084.6010367814	-534817.9004942751
-1140610.424870991	-534825.1912296461
-1167136.2487052	-534832.2124625163
-1193662.0725394094	-534838.9773786496
-1220187.8963736186	-534845.4982394322
-1246713.7202078279	-534851.7865885145
-1273239.5440420373	-534857.8534841245
-1299765.3678762466	-534863.7090585041
-1326291.1917104558	-534869.3636208846
-1352817.015544665	-534874.8259386373
-1379342.8393788743	-534880.1045413845
-1405868.6632130835	-534885.2080312896
-1432394.487047293	-534890.1438672163
-1458920.3108815022	-534894.9195893751
-1485446.1347157112	-534899.541845604
-1511971.9585499207	-534904.0162007123
-1538497.78238413	-534908.3499808362
-1565023.6062183394	-534912.5494576084
-1591549.4300525486	-534916.6187021964
-1618075.253886758	-534920.5643015979
-1644601.0777209667	-534924.3913274511
-1671126.9015551761	-534928.1035537532
-1697652.7253893851	-534931.7051221749
-1724178.5492235944	-534935.2017934615
-1750704.3730578034	-534938.5973311415
-1777230.1968920128	-534941.8953212097
-1803756.0207262216	-534945.0994883493
-1830281.8445604306	-534948.2133660092
-1856807.66839464	-534951.2403226485
-1883333.4922288489	-534954.1823865201
-1909859.316063058	-534957.0450826116
-1936385.139897267	-534959.8300097267
-1962910.9637314763	-534962.540012616
-1989436.7875656853	-534965.1777593
-2015962.6113998946	-534967.7458023031
-2042488.435234104	-534970.246579963
-2069014.2590683128	-534972.6824262879
-2095540.0829025218	-534975.0555743834
-2122065.906736731	-534977.3681618125
-2148591.7305709403	-534979.622235608
-2175117.554405149	-534981.819757152
-2201643.3782393583	-534983.9626058064
-2228169.2020735675	-534986.0525837922
-2254695.0259077763	-534988.0914191494
-2281220.8497419856	-534990.0807701376
-2307746.673576195	-534992.0222279566
-2334272.497410404	-534993.9173203307
-2360798.321244613	-534995.7675144841
-2387324.1450788225	-534997.5742200263
-2413849.9689130313	-534999.3387915454
-2440375.7927472405	-535001.0625310922
-2466901.6165814493	-535002.7466908661
-2493427.4404156585	-535004.3924753428
-2519953.2642498678	-535006.0010434208
-2546479.088084077	-535007.5735106007
-2573004.911918286	-535009.11095066
-2599530.735752495	-535010.6143978592
-2626056.5595867042	-535012.0848484425
-2652582.3834209135	-535013.5232623896
-2679108.2072551223	-535014.930564985
-2705634.0310893315	-535016.3076482847
-2732159.854923541	-535017.6553725158
-2758685.67875775	-535018.9745675409
-2785211.5025919587	-535020.2660340247
-2811737.326426168	-535021.5305447542
-2838263.150260377	-535022.768845698
-2864788.974094586	-535023.981657203
-2891314.7979287948	-535025.16967522
-2917840.6217630045	-535026.3335713786
-2944366.4455972137	-535027.4739953041
-2970892.269431422	-535028.5915748083
-2997418.093265632	-535029.6869164341
-3023943.917099841	-535030.7606075599
-3050469.74093405	-535031.8132154762
-3076995.564768259	-535032.8452892568
-3103521.3886024687	-535033.857360161
-3130047.2124366774	-535034.8499424168
-3156573.0362708867	-535035.8235337017
-3183098.8601050954	-535036.7786160642
-3209624.683939305	-535037.7156562125
-3236150.5077735144	-535038.6351062899
-3262676.331607723	-535039.5374042599
-3289202.1554419324	-535040.4229746178
-3315727.979276142	-535041.2922287153
-3342253.803110351	-535042.1455653762
-3368779.6269445596	-535042.9833712705
-3395305.450778769	-535043.8060213755
