H (A/m)	M (A/m)
3978873.5751313814	555586.8948886355
3713615.3367892895	555580.1366264466
3448357.0984471976	555572.1351837026
3183098.8601051057	555562.5654331826
2917840.621763014	555550.988405413
2652582.3834209214	555536.7998031173
2387324.145078829	555519.1490913575
2122065.906736737	555496.8082155283
1856807.6683946445	555467.9505322612
1591549.4300525526	555429.7620343299
1326291.1917104605	555377.7212450384
1061032.9533683686	555304.1793591278
795774.7150262764	555195.332797492
530516.4766841844	555024.0905795904
265258.2383420923	554730.8518227623
2.6504622331100836e-10	554160.6593878012
-265258.2383420918	552780.6106921482
-530516.4766841839	546928.4092450944
-795774.715026276	-555195.3329304863
-1061032.9533683679	-555304.1790575434
-1326291.19171046	-555377.7210907813
-1591549.4300525521	-555429.7620484048
-1856807.668394644	-555467.950203845
-2122065.906736736	-555496.808099554
-2387324.145078829	-555519.1490696699
-2652582.383420921	-555536.7998201001
-2917840.621763013	-555550.9884041826
-3183098.860105105	-555562.5654667353
-3448357.098447197	-555572.1352305159
-3713615.336789289	-555580.1366757534
-3978873.575131381	-555586.8948923437
