H (A/m)	M (A/m)
3978873.5751313814	264684.691887703
3713615.3367892895	264683.48355226725
3448357.0984471976	264682.0069641806
3183098.8601051057	264680.1763776323
2917840.621763014	264677.86881504
2652582.3834209214	264674.90282543394
2387324.145078829	264671.001623036
2122065.906736737	264665.72594259673
1856807.6683946445	264658.3444139359
1591549.4300525526	264647.5648700148
1326291.1917104605	264630.92540771177
1061032.9533683686	264603.24490101455
795774.7150262764	264552.0077193102
530516.4766841844	264440.06108029495
265258.2383420923	264110.67432639125
2.6504622331100836e-10	262053.79447907064
-265258.2383420918	-264110.67423368536
-530516.4766841839	-264440.06239857496
-795774.715026276	-264552.00783974107
-1061032.9533683679	-264603.2448013866
-1326291.19171046	-264630.92543442
-1591549.4300525521	-264647.5649009927
-1856807.668394644	-264658.34444630705
-2122065.906736736	-264665.72594341706
-2387324.145078829	-264671.00167792494
-2652582.383420921	-264674.9028965257
-2917840.621763013	-264677.8688155376
-3183098.860105105	-264680.17637767404
-3448357.098447197	-264682.00696415745
-3713615.336789289	-264683.48355244246
-3978873.575131381	-264684.69188763027
