H (A/m)	M (A/m)
3978873.5751313814	1151232.1034800846
3713615.3367892895	1151218.125276921
3448357.0984471976	1151202.6331175186
3183098.8601051057	1151185.3998270137
2917840.621763014	1151166.1537202196
2652582.3834209214	1151144.5678303905
2387324.145078829	1151120.2457964746
2122065.906736737	1151092.703348854
1856807.6683946445	1151061.3437422598
1591549.4300525526	1151025.42475248
1326291.1917104605	1150984.013748245
1061032.9533683686	1150935.925586476
795774.7150262764	1150879.6353898507
530516.4766841844	1150813.1538535594
265258.2383420923	1150733.8450007515
2.6504622331100836e-10	1150638.154222091
-265258.2383420918	1150521.190836817
-530516.4766841839	1150376.0685533874
-795774.715026276	1150192.8248866221
-1061032.9533683679	1149956.5757757467
-1326291.19171046	1149644.1973352784
-1591549.4300525521	1149217.9646374497
-1856807.668394644	1148612.3324865664
-2122065.906736736	1147702.915783035
-2387324.145078829	1146220.6857546964
-2652582.383420921	1143427.034188832
-2917840.621763013	-1151166.154259948
-3183098.860105105	-1151185.3996707778
-3448357.098447197	-1151202.6330281917
-3713615.336789289	-1151218.1252338772
-3978873.575131381	-1151232.1035646051
