H (A/m)	M (A/m)
3978873.5751313814	818930.5120174967
3713615.3367892895	818918.748659557
3448357.0984471976	818905.2554864314
3183098.8601051057	818889.6753119315
2917840.621763014	818871.5535050064
2652582.3834209214	818850.3042421727
2387324.145078829	818825.1621857473
2122065.906736737	818795.1119736857
1856807.6683946445	818758.7830290734
1591549.4300525526	818714.2886709824
1326291.1917104605	818658.9727934729
1061032.9533683686	818588.9978108426
795774.7150262764	818498.648155838
530516.4766841844	818379.0978618638
265258.2383420923	818216.1078993306
2.6504622331100836e-10	817985.4219860912
-265258.2383420918	817642.7283092628
-530516.4766841839	817099.112933092
-795774.715026276	816149.9836198179
-1061032.9533683679	814204.300012843
-1326291.19171046	808247.5029785356
-1591549.4300525521	-818714.2887138124
-1856807.668394644	-818758.7811815033
-2122065.906736736	-818795.1108545032
-2387324.145078829	-818825.1615164041
-2652582.383420921	-818850.3038528449
-2917840.621763013	-818871.553290395
-3183098.860105105	-818889.6752066714
-3448357.098447197	-818905.2554490329
-3713615.336789289	-818918.7486629331
-3978873.575131381	-818930.512078938
