H (A/m)	M (A/m)
3978873.5751313814	821658.5396882568
3952347.751297172	821657.4951383494
3925821.9274629634	821656.4370444041
3899296.103628754	821655.3651750627
3872770.279794545	821654.2793023738
3846244.4559603357	821653.1791772086
3819718.632126127	821652.0645562732
3793192.808291918	821650.9351759431
3766666.9844577084	821649.7907814096
3740141.160623499	821648.631097945
3713615.3367892904	821647.4558582868
3687089.512955081	821646.2647768041
3660563.689120872	821645.0575717952
3634037.8652866627	821643.83394811
3607512.041452454	821642.593606175
3580986.2176182447	821641.3362395668
3554460.3937840355	821640.0615348008
3527934.569949826	821638.76917111
3501408.7461156175	821637.4588190025
3474882.922281408	821636.1301473333
3448357.098447199	821634.7828067142
3421831.27461299	821633.4164473824
3395305.450778781	821632.0307091007
3368779.6269445717	821630.6252230412
3342253.8031103625	821629.1996100753
3315727.9792761537	821627.7534863674
3289202.1554419445	821626.2864543867
3262676.3316077353	821624.798108537
3236150.507773526	821623.2880328561
3209624.6839393172	821621.7558019671
3183098.8601051085	821620.2009792168
3156573.0362708988	821618.6231175817
3130047.2124366895	821617.0217587844
3103521.3886024808	821615.3964332351
3076995.564768272	821613.7466590888
3050469.7409340623	821612.0719427288
3023943.917099853	821610.3717778708
2997418.0932656443	821608.6456452834
2970892.269431435	821606.8930123906
2944366.445597226	821605.1133328909
2917840.621763017	821603.3060462904
2891314.797928808	821601.4705774692
2864788.9740945986	821599.6063379
2838263.15026039	821597.7127185542
2811737.3264261805	821595.7890992017
2785211.5025919713	821593.8348414416
2758685.678757762	821591.8492897802
2732159.854923553	821589.8317710366
2705634.031089344	821587.7815938224
2679108.207255135	821585.6980478915
2652582.383420926	821583.5804035603
2626056.5595867164	821581.4279144369
2599530.7357525076	821579.2398032894
2573004.911918299	821577.0152813597
2546479.088084089	821574.7535344311
2519953.26424988	821572.4537253529
2493427.440415671	821570.114993236
2466901.616581462	821567.7364526724
2440375.792747252	821565.3171928872
2413849.9689130434	821562.8562824706
2387324.1450788346	821560.3527461464
2360798.3212446254	821557.8055969584
2334272.497410416	821555.2138134135
2307746.6735762074	821552.5763438802
2281220.849741998	821549.8921054871
2254695.025907789	821547.1599906707
2228169.2020735797	821544.3788356528
2201643.378239371	821541.5474642364
2175117.5544051616	821538.6646569141
2148591.7305709524	821535.7291567782
2122065.906736743	821532.7396682025
2095540.0829025342	821529.6948645724
2069014.2590683252	821526.5933566978
