H (A/m)	M (A/m)
3978873.5751313814	1030545.6957305033
3952347.751297172	1030544.4938459238
3925821.9274629634	1030543.2789171062
3899296.103628754	1030542.0507940061
3872770.279794545	1030540.8092941046
3846244.4559603357	1030539.5542306389
3819718.632126127	1030538.2854006939
3793192.808291918	1030537.0025972397
3766666.9844577084	1030535.7056232059
3740141.160623499	1030534.3942641269
3713615.3367892904	1030533.0683016262
3687089.512955081	1030531.727526651
3660563.689120872	1030530.3717128724
3634037.8652866627	1030529.0006299992
3607512.041452454	1030527.6140557278
3580986.2176182447	1030526.2117484546
3554460.3937840355	1030524.7934743982
3527934.569949826	1030523.3589870292
3501408.7461156175	1030521.908037752
3474882.922281408	1030520.4403732922
3448357.098447199	1030518.9557354032
3421831.27461299	1030517.4538608456
3395305.450778781	1030515.9344812507
3368779.6269445717	1030514.3973215915
3342253.8031103625	1030512.8421057368
3315727.9792761537	1030511.2685475905
3289202.1554419445	1030509.6763571154
3262676.3316077353	1030508.0652383899
3236150.507773526	1030506.4348895887
3209624.6839393172	1030504.7850028311
3183098.8601051085	1030503.1152640352
3156573.0362708988	1030501.4253527509
3130047.2124366895	1030499.7149440051
3103521.3886024808	1030497.9837004323
3076995.564768272	1030496.2312834257
3050469.7409340623	1030494.4573455737
3023943.917099853	1030492.6615322838
2997418.0932656443	1030490.8434815983
2970892.269431435	1030489.0028240548
2944366.445597226	1030487.1391824558
2917840.621763017	1030485.2521716802
2891314.797928808	1030483.3413984885
2864788.9740945986	1030481.4064616921
2838263.15026039	1030479.4469504836
2811737.3264261805	1030477.4624463433
2785211.5025919713	1030475.452521441
2758685.678757762	1030473.4167387174
2732159.854923553	1030471.3546516607
2705634.031089344	1030469.2658040666
2679108.207255135	1030467.149729744
2652582.383420926	1030465.0059523344
2626056.5595867164	1030462.8339849258
2599530.7357525076	1030460.6333298837
2573004.911918299	1030458.4034808152
2546479.088084089	1030456.1439131008
2519953.26424988	1030453.8540972476
2493427.440415671	1030451.5334895537
2466901.616581462	1030449.1815340103
2440375.792747252	1030446.7976619722
2413849.9689130434	1030444.3812917977
2387324.1450788346	1030441.9318285075
2360798.3212446254	1030439.4486634117
2334272.497410416	1030436.9311737205
2307746.6735762074	1030434.3787221417
2281220.849741998	1030431.7906610955
2254695.025907789	1030429.1663140416
2228169.2020735797	1030426.5050021273
2201643.378239371	1030423.8060258926
2175117.5544051616	1030421.068669187
2148591.7305709524	1030418.2921987163
2122065.906736743	1030415.4758635106
2095540.0829025342	1030412.6188944848
2069014.2590683252	1030409.7205038265
2042488.4352341164	1030406.7798918344
2015962.611399907	1030403.7962172164
1989436.7875656977	1030400.7686397927
1962910.963731489	1030397.6962912827
1936385.1398972794	1030394.5782817554
1909859.31606307	1030391.4136990241
1883333.4922288612	1030388.2016078896
1856807.6683946522	1030384.9410594822
1830281.8445604432	1030381.6310510089
1803756.020726234	1030378.2705836716
1777230.196892025	1030374.8586231488
1750704.3730578157	1030371.3941083862
1724178.5492236067	1030367.8759507942
1697652.7253893975	1030364.303033312
1671126.9015551885	1030360.674209563
1644601.0777209792	1030356.9883151451
1618075.2538867702	1030353.2441181745
1591549.430052561	1030349.4403903122
1565023.6062183513	1030345.575858141
1538497.7823841427	1030341.6492142383
1511971.9585499333	1030337.6591149458
1485446.1347157238	1030333.6041803726
1458920.3108815148	1030329.4829929046
1432394.4870473053	1030325.2940955518
1405868.663213096	1030321.0359910281
1379342.8393788866	1030316.7071402073
1352817.0155446772	1030312.3059607701
1326291.1917104684	1030307.8308257549
1299765.367876259	1030303.2800619717
1273239.5440420494	1030298.6519485964
1246713.7202078402	1030293.9447149697
1220187.8963736307	1030289.1565397147
1193662.0725394217	1030284.2855480612
1167136.2487052123	1030279.3298107437
1140610.424871003	1030274.2873415784
1114084.6010367938	1030269.1560956986
1087558.7772025845	1030263.9339669616
1061032.9533683753	1030258.6187854592
1034507.129534166	1030253.2083194848
1007981.3056999566	1030247.7002641107
981455.4818657474	1030242.0922486419
954929.658031538	1030236.3818259375
928403.8341973288	1030230.5664764012
901878.0103631194	1030224.6435999038
875352.1865289103	1030218.6105153606
848826.3626947008	1030212.4644575706
822300.5388604916	1030206.2025730936
795774.7150262822	1030199.821917523
769248.8911920731	1030193.3194514931
742723.0673578638	1030186.6920380091
716197.2435236546	1030179.9364368749
689671.4196894455	1030173.0493023295
663145.5958552363	1030166.0271775395
636619.772021027	1030158.866490909
610093.9481868178	1030151.5635512805
583568.1243526087	1030144.1145428068
557042.3005183995	1030136.5155201427
530516.4766841902	1030128.7624028352
503990.65284998104	1030120.8509698102
477464.82901577186	1030112.7768537272
450939.0051815626	1030104.535534269
424413.18134735344	1030096.1223320842
397887.35751314426	1030087.5324020401
371361.53367893497	1030078.7607252862
344835.70984472585	1030069.8021029758
318309.8860105166	1030060.6511466586
291784.0621763074	1030051.3022722244
265258.2383420982	1030041.7496886939
238732.414507889	1030031.9873904816
212206.5906736798	1030022.0091468756
185680.76683947057	1030011.8084933558
159154.9430052614	1030001.3787180452
132629.1191710522	1029990.7128534887
106103.29533684293	1029979.8036614918
79577.47150263375	1029968.6436233514
