H (A/m)	M (A/m)
3978873.5751313814	636665.3688420368
3713615.3367892895	636656.8468182507
3448357.0984471976	636646.8563250133
3183098.8601051057	636635.039004044
2917840.621763014	636620.9199159647
2652582.3834209214	636603.8588066909
2387324.145078829	636582.9757716642
2122065.906736737	636557.0346746291
1856807.6683946445	636524.2544030885
1591549.4300525526	636481.9918195845
1326291.1917104605	636426.1855092035
1061032.9533683686	636350.3285267252
795774.7150262764	636243.44765116
530516.4766841844	636085.8061731446
265258.2383420923	635838.7940592264
2.6504622331100836e-10	635417.6617909023
-265258.2383420918	634601.5341344237
-530516.4766841839	632613.6354702126
-795774.715026276	-636243.4477846896
-1061032.9533683679	-636350.3283002287
-1326291.19171046	-636426.1856218436
-1591549.4300525521	-636481.9924419528
-1856807.668394644	-636524.2539324875
-2122065.906736736	-636557.0344690881
-2387324.145078829	-636582.9756981889
-2652582.383420921	-636603.8587968015
-2917840.621763013	-636620.919848947
-3183098.860105105	-636635.0390016347
-3448357.098447197	-636646.8563545066
-3713615.336789289	-636656.8468623298
-3978873.575131381	-636665.3688995535
