H (A/m)	M (A/m)
3978873.5751313814	1060993.4155394926
3952347.751297172	1060992.2045580335
3925821.9274629634	1060990.9807742883
3899296.103628754	1060989.7440528362
3872770.279794545	1060988.4942231977
3846244.4559603357	1060987.2310948244
3819718.632126127	1060985.9544867412
3793192.808291918	1060984.6642017786
3766666.9844577084	1060983.3600435115
3740141.160623499	1060982.041807152
3713615.3367892904	1060980.7092986514
3687089.512955081	1060979.3623014893
3660563.689120872	1060978.0006135635
3634037.8652866627	1060976.624015526
3607512.041452454	1060975.2322843305
3580986.2176182447	1060973.825205276
3554460.3937840355	1060972.4025474018
3527934.569949826	1060970.9640761504
3501408.7461156175	1060969.509562039
3474882.922281408	1060968.0387621187
3448357.098447199	1060966.5514319162
3421831.27461299	1060965.0473222565
3395305.450778781	1060963.5261793623
3368779.6269445717	1060961.9877445055
3342253.8031103625	1060960.4317541083
3315727.9792761537	1060958.8579380857
3289202.1554419445	1060957.2660255337
3262676.3316077353	1060955.6557357085
3236150.507773526	1060954.026784199
3209624.6839393172	1060952.3788809262
3183098.8601051085	1060950.7117301542
3156573.0362708988	1060949.0250303366
3130047.2124366895	1060947.3184739877
3103521.3886024808	1060945.5917475394
3076995.564768272	1060943.844531171
3050469.7409340623	1060942.0765008286
3023943.917099853	1060940.2873197375
2997418.0932656443	1060938.4766504795
2970892.269431435	1060936.644146825
2944366.445597226	1060934.7894555044
2917840.621763017	1060932.9122160794
2891314.797928808	1060931.0120607282
2864788.9740945986	1060929.0886140973
2838263.15026039	1060927.1414930688
2811737.3264261805	1060925.1703070418
2785211.5025919713	1060923.1746560829
2758685.678757762	1060921.1541330738
2732159.854923553	1060919.108322013
2705634.031089344	1060917.0367981102
2679108.207255135	1060914.9391276161
2652582.383420926	1060912.814867576
2626056.5595867164	1060910.6635655724
2599530.7357525076	1060908.484759516
2573004.911918299	1060906.2779773765
2546479.088084089	1060904.0427369273
2519953.26424988	1060901.7785454765
2493427.440415671	1060899.4849020636
2466901.616581462	1060897.1612874283
2440375.792747252	1060894.8071781562
