H (A/m)	M (A/m)
3978873.5751313814	1127934.2545122101
3952347.751297172	1127933.0339932742
3925821.9274629634	1127931.8012929
3899296.103628754	1127930.5563099
3872770.279794545	1127929.298890904
3846244.4559603357	1127928.028869432
3819718.632126127	1127926.7460762074
3793192.808291918	1127925.4503390992
3766666.9844577084	1127924.1414785145
3740141.160623499	1127922.8193253868
3713615.3367892904	1127921.4836942528
3687089.512955081	1127920.1344009493
3660563.689120872	1127918.7712531625
3634037.8652866627	1127917.394070217
3607512.041452454	1127916.0026534013
3580986.2176182447	1127914.5968007073
3554460.3937840355	1127913.176320984
3527934.569949826	1127911.7410012723
3501408.7461156175	1127910.290642027
3474882.922281408	1127908.8250278397
3448357.098447199	1127907.343943603
3421831.27461299	1127905.847167264
3395305.450778781	1127904.3344821902
3368779.6269445717	1127902.805658543
3342253.8031103625	1127901.2604654632
3315727.9792761537	1127899.6986679472
3289202.1554419445	1127898.120026746
3262676.3316077353	1127896.524298277
3236150.507773526	1127894.911234537
3209624.6839393172	1127893.2805829833
3183098.8601051085	1127891.6320851175
3156573.0362708988	1127889.9654817183
3130047.2124366895	1127888.2805047387
3103521.3886024808	1127886.5768825319
3076995.564768272	1127884.854338383
3050469.7409340623	1127883.1125904166
3023943.917099853	1127881.35135148
2997418.0932656443	1127879.57032903
2970892.269431435	1127877.7692249867
2944366.445597226	1127875.9477356188
2917840.621763017	1127874.1055514053
2891314.797928808	1127872.2423592934
2864788.9740945986	1127870.3578333047
2838263.15026039	1127868.4516479801
2811737.3264261805	1127866.5234693622
2785211.5025919713	1127864.5729570126
2758685.678757762	1127862.5997638418
2732159.854923553	1127860.6035360007
2705634.031089344	1127858.5839126783
2679108.207255135	1127856.5405259607
2652582.383420926	1127854.473001129
2626056.5595867164	1127852.3809546067
2599530.7357525076	1127850.2639965552
2573004.911918299	1127848.1217288892
2546479.088084089	1127845.9537455016
2519953.26424988	1127843.7596321118
2493427.440415671	1127841.5389659938
2466901.616581462	1127839.291315869
2440375.792747252	1127837.0162416042
2413849.9689130434	1127834.7132940418
2387324.1450788346	1127832.3820147759
2360798.3212446254	1127830.0219359156
2334272.497410416	1127827.6325824517
2307746.6735762074	1127825.213461617
2281220.849741998	1127822.7640781596
2254695.025907789	1127820.283923746
2228169.2020735797	1127817.7724793379
2201643.378239371	1127815.229214857
2175117.5544051616	1127812.6535889367
2148591.7305709524	1127810.045048596
2122065.906736743	1127807.4030289736
2095540.0829025342	1127804.7269529875
