H (A/m)	M (A/m)
3978873.5751313814	958911.5130520873
3952347.751297172	958910.3456433642
3925821.9274629634	958909.1647579719
3899296.103628754	958907.9702170298
3872770.279794545	958906.761821207
3846244.4559603357	958905.5393507337
3819718.632126127	958904.3025944985
3793192.808291918	958903.0513243423
3766666.9844577084	958901.7853076316
3740141.160623499	958900.5043198528
3713615.3367892904	958899.2081155372
3687089.512955081	958897.8964599777
3660563.689120872	958896.5690997373
3634037.8652866627	958895.2257879179
3607512.041452454	958893.8662648244
3580986.2176182447	958892.4902680862
3554460.3937840355	958891.0975300036
3527934.569949826	958889.6877774058
3501408.7461156175	958888.2607315163
3474882.922281408	958886.8161065865
3448357.098447199	958885.3536146312
3421831.27461299	958883.8729580243
3395305.450778781	958882.3738341368
3368779.6269445717	958880.8559340013
3342253.8031103625	958879.3189421558
3315727.9792761537	958877.76253645
3289202.1554419445	958876.1863909705
3262676.3316077353	958874.5901638092
3236150.507773526	958872.97351318
3209624.6839393172	958871.3360915419
3183098.8601051085	958869.6775392963
3156573.0362708988	958867.9974905641
3130047.2124366895	958866.2955715
3103521.3886024808	958864.5714000652
3076995.564768272	958862.8245858483
3050469.7409340623	958861.0547298013
3023943.917099853	958859.2614240367
2997418.0932656443	958857.4442515762
2970892.269431435	958855.6027864136
2944366.445597226	958853.7365920974
2917840.621763017	958851.8452231726
2891314.797928808	958849.9282238064
2864788.9740945986	958847.9851277644
2838263.15026039	958846.0154581659
2811737.3264261805	958844.018727135
2785211.5025919713	958841.9944355356
2758685.678757762	958839.9420726454
2732159.854923553	958837.8611158303
2705634.031089344	958835.7510323079
2679108.207255135	958833.6112704595
2652582.383420926	958831.4412718874
2626056.5595867164	958829.2404628148
2599530.7357525076	958827.0082557941
2573004.911918299	958824.7440492278
2546479.088084089	958822.447227063
2519953.26424988	958820.1171582486
2493427.440415671	958817.7531964224
2466901.616581462	958815.3546793292
2440375.792747252	958812.920932638
2413849.9689130434	958810.4512529199
2387324.1450788346	958807.9449315628
2360798.3212446254	958805.4012382186
2334272.497410416	958802.819424144
2307746.6735762074	958800.1987217648
2281220.849741998	958797.53834397
2254695.025907789	958794.8374836168
2228169.2020735797	958792.0953193937
2201643.378239371	958789.3109893509
2175117.5544051616	958786.4836285859
2148591.7305709524	958783.6123432437
2122065.906736743	958780.6962160774
2095540.0829025342	958777.7343057027
2069014.2590683252	958774.7256458144
2042488.4352341164	958771.6692444229
2015962.611399907	958768.5640923685
1989436.7875656977	958765.4091253515
1962910.963731489	958762.203278154
1936385.1398972794	958758.9454473419
1909859.31606307	958755.6344993328
1883333.4922288612	958752.2692693609
1856807.6683946522	958748.8485604153
1830281.8445604432	958745.371153515
1803756.020726234	958741.8357619751
1777230.196892025	958738.2410963168
1750704.3730578157	958734.5858223904
1724178.5492236067	958730.868559574
1697652.7253893975	958727.0878962098
1671126.9015551885	958723.2423769668
1644601.0777209792	958719.3305046759
1618075.2538867702	958715.3507383247
1591549.430052561	958711.301491857
1565023.6062183513	958707.1811323916
1538497.7823841427	958702.9879787429
1511971.9585499333	958698.7202993294
