H (A/m)	M (A/m)
3978873.5751313814	1087767.3333182465
3713615.3367892895	1087753.437077748
3448357.0984471976	1087737.944822035
3183098.8601051057	1087720.6020019976
2917840.621763014	1087701.100969557
2652582.3834209214	1087679.067208803
2387324.145078829	1087654.0410490693
2122065.906736737	1087625.4532507446
1856807.6683946445	1087592.5919752931
1591549.4300525526	1087554.5574915686
1326291.1917104605	1087510.1990649402
1061032.9533683686	1087458.0254956284
795774.7150262764	1087396.075967331
530516.4766841844	1087321.729244712
265258.2383420923	1087231.4153412106
2.6504622331100836e-10	1087120.1669701831
-265258.2383420918	1086980.8993924449
-530516.4766841839	1086803.2093415067
-795774.715026276	1086571.2799751128
-1061032.9533683679	1086260.018500543
-1326291.19171046	1085827.4226675355
-1591549.4300525521	1085198.0881983961
-1856807.668394644	1084222.4780960523
-2122065.906736736	1082554.9935256408
-2387324.145078829	1079115.984199095
-2652582.383420921	-1087679.0672370794
-2917840.621763013	-1087701.100704287
-3183098.860105105	-1087720.6018402092
-3448357.098447197	-1087737.9447310464
-3713615.336789289	-1087753.4370358847
-3978873.575131381	-1087767.333394288
