H (A/m)	M (A/m)
3978873.5751313814	765020.4306429349
3713615.3367892895	765009.4868124395
3448357.0984471976	764996.8542859583
3183098.8601051057	764982.1662636271
2917840.621763014	764964.9504178639
2652582.3834209214	764944.5902116766
2387324.145078829	764920.2685069563
2122065.906736737	764890.8835825309
1856807.6683946445	764854.92092235
1591549.4300525526	764810.2519271369
1326291.1917104605	764753.8073863424
1061032.9533683686	764681.027649708
795774.7150262764	764584.8947834956
530516.4766841844	764454.1351760373
265258.2383420923	764269.6578172211
2.6504622331100836e-10	763996.8868602273
-265258.2383420918	763567.3575059702
-530516.4766841839	762827.2901892784
-795774.715026276	761354.4375580151
-1061032.9533683679	757390.3711326757
-1326291.19171046	-764753.80740769
-1591549.4300525521	-764810.2503589903
-1856807.668394644	-764854.9190770381
-2122065.906736736	-764890.8825072034
-2387324.145078829	-764920.2678885557
-2652582.383420921	-764944.5898683416
-2917840.621763013	-764964.95024091
-3183098.860105105	-764982.1661870425
-3448357.098447197	-764996.8542690461
-3713615.336789289	-765009.4868298615
-3978873.575131381	-765020.430704057
